Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
PHONETICA	0031-8388	1423-0321	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.10
Journal of Ancient Near Eastern Religions	1569-2116	1569-2124	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	0.60
Poe Studies-History Theory Interpretation	1947-4644	1754-6095	LITERATURE, AMERICAN - AHCI	N/A	N/A	0.30
LINGUISTIQUE	0075-966X	2101-0234	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.06
Annual Review of Applied Linguistics	0267-1905	1471-6356	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	2.81
KANT-STUDIEN	0022-8877	1613-1134	PHILOSOPHY - AHCI	N/A	N/A	0.64
Journal of African Cultural Studies	1369-6815	1469-9346	CULTURAL STUDIES - AHCI	N/A	N/A	0.86
Akkadica	1378-5087	0779-7842	ARCHAEOLOGY - AHCI	N/A	N/A	0.16
MOSAIC-AN INTERDISCIPLINARY CRITICAL JOURNAL	0027-1276	1925-5683	LITERARY THEORY & CRITICISM - AHCI$LITERATURE - AHCI	N/A	N/A	0.73
REVUE DE MUSICOLOGIE	0035-1601	N/A	MUSIC - AHCI	N/A	N/A	0.11
CLA JOURNAL-COLLEGE LANGUAGE ASSOCIATION	0007-8549	N/A	LITERATURE - AHCI	N/A	N/A	0.00
RIVISTA STORICA ITALIANA	0035-7073	N/A	HISTORY - AHCI	N/A	N/A	0.29
THEATRE SURVEY	0040-5574	1475-4533	THEATER - AHCI	N/A	N/A	1.65
Dress-The Journal of the Costume Society of America	0361-2112	2042-1729	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.60
HORIZONS	0360-9669	2050-8557	RELIGION - AHCI	N/A	N/A	0.36
CULTURAL STUDIES	0950-2386	1466-4348	CULTURAL STUDIES - AHCI	N/A	N/A	1.09
ZEITSCHRIFT FUR KUNSTGESCHICHTE	0044-2992	N/A	ART - AHCI	N/A	N/A	0.31
HUNTINGTON LIBRARY QUARTERLY	0018-7895	1544-399X	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.36
VIVARIUM-AN INTERNATIONAL JOURNAL FOR THE PHILOSOPHY AND INTELLECTUAL LIFE OF THE MIDDLE AGES AND RENAISSANCE	0042-7543	N/A	MEDIEVAL & RENAISSANCE STUDIES - AHCI$PHILOSOPHY - AHCI	N/A	N/A	1.34
RASSEGNA DELLA LETTERATURA ITALIANA	0033-9423	N/A	LITERATURE, ROMANCE - AHCI	N/A	N/A	0.25
Studia Theologica-Czech Republic	1212-8570	2570-9798	RELIGION - AHCI	N/A	N/A	0.18
DANCE MAGAZINE	0011-6009	N/A	DANCE - AHCI	N/A	N/A	0.00
Journal for General Philosophy of Science	0925-4560	1572-8587	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.70
Historia Agraria	1139-1472	2340-3659	HISTORY - AHCI	N/A	N/A	1.29
Pluralist	1930-7365	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.43
JOURNAL OF AFRICAN HISTORY	0021-8537	1469-5138	HISTORY - AHCI	N/A	N/A	1.81
Review of Faith & International Affairs	1557-0274	1931-7743	RELIGION - AHCI	N/A	N/A	2.94
UNIVERSITAS-Monthly Review of Philosophy and Culture	1015-8383	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.02
Parallax	1353-4645	1460-700X	CULTURAL STUDIES - AHCI	N/A	N/A	0.53
BULLETIN OF THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES-UNIVERSITY OF LONDON	0041-977X	1474-0699	ASIAN STUDIES - AHCI	N/A	N/A	1.07
OPERA	0030-3526	0030-3526	MUSIC - AHCI	N/A	N/A	0.00
Nineteenth-Century Music Review	1479-4098	2044-8414	MUSIC - AHCI	N/A	N/A	0.27
Journal of Policy History	0898-0306	1528-4190	HISTORY - AHCI	N/A	N/A	0.87
Wasafiri	0269-0055	1747-1508	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.31
Signs and Society	2326-4489	2326-4497	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	1.73
AMERICAN SPEECH	0003-1283	1527-2133	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.77
INDOGERMANISCHE FORSCHUNGEN	0019-7262	1613-0405	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.40
PHILOSOPHY OF THE SOCIAL SCIENCES	0048-3931	1552-7441	PHILOSOPHY - AHCI	N/A	N/A	0.78
Diasporas-Histoire et Societes	1637-5823	N/A	HISTORY - AHCI	N/A	N/A	0.13
Interpreter and Translator Trainer	1750-399X	1757-0417	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.26
Archaeologies-Journal of the World Archaeological Congress	1555-8622	1935-3987	ARCHAEOLOGY - AHCI	N/A	N/A	0.73
Journal of British Cinema and Television	1743-4521	1755-1714	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.89
Open House International	0168-2601	2633-9838	ARCHITECTURE - AHCI	N/A	N/A	0.51
Revue Roumaine de Philosophie	1220-5400	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.15
Natural Language Semantics	0925-854X	1572-865X	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.56
WESTERLY	0043-342X	N/A	LITERARY REVIEWS - AHCI	N/A	N/A	1.07
SALMAGUNDI-A QUARTERLY OF THE HUMANITIES AND SOCIAL SCIENCES	0036-3529	N/A	LITERARY REVIEWS - AHCI	N/A	N/A	0.45
DENKMALPFLEGE	0947-031X	N/A	ARCHITECTURE - AHCI	N/A	N/A	0.03
Estudios Atacamenos	0718-1043	0718-1043	ARCHAEOLOGY - AHCI$HISTORY - AHCI	N/A	N/A	0.51
JOURNAL OF FEMINIST STUDIES IN RELIGION	8755-4178	1553-3913	RELIGION - AHCI	N/A	N/A	0.60
TRADITIO-STUDIES IN ANCIENT AND MEDIEVAL HISTORY THOUGHT AND RELIGION	0362-1529	2166-5508	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	1.93
EGA-Revista de Expresion Grafica Arquitectonica	1133-6137	2254-6103	ARCHITECTURE - AHCI	N/A	N/A	0.21
Welt des Islams	0043-2539	N/A	RELIGION - AHCI	N/A	N/A	0.63
CITHARA-ESSAYS IN THE JUDEO-CHRISTIAN TRADITION	0009-7527	0009-7527	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.07
CANADIAN LITERATURE	0008-4360	0008-4360	LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN - AHCI	N/A	N/A	1.14
Architektura & Urbanizmus	0044-8680	N/A	ARCHITECTURE - AHCI	N/A	N/A	0.44
INTERNATIONAL JOURNAL FOR PHILOSOPHY OF RELIGION	0020-7047	1572-8684	PHILOSOPHY - AHCI$RELIGION - AHCI	N/A	N/A	0.97
NTM	0036-6978	1420-9144	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.35
BYZANTINISCHE ZEITSCHRIFT	0007-7704	1868-9027	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	1.04
GESCHICHTE UND GESELLSCHAFT	0340-613X	2196-9000	HISTORY - AHCI	N/A	N/A	1.01
HEGEL-STUDIEN	0073-1587	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.11
JOURNAL OF THE WARBURG AND COURTAULD INSTITUTES	0075-4390	2044-0014	ART - AHCI	N/A	N/A	0.48
Biblical Interpretation-A Journal of Contemporary Approaches	0927-2569	1568-5152	RELIGION - AHCI	N/A	N/A	0.41
INTERPRETATION-A JOURNAL OF BIBLE AND THEOLOGY	0020-9643	2159-340X	RELIGION - AHCI	N/A	N/A	0.36
Journal of Screenwriting	1759-7137	1759-7145	FILM, RADIO, TELEVISION - AHCI$LITERATURE - AHCI	N/A	N/A	1.34
ENVIRONMENT AND HISTORY	0967-3407	1752-7023	HISTORY - AHCI	N/A	N/A	1.52
RIVISTA DI LETTERATURE MODERNE E COMPARATE	0391-2108	N/A	LITERATURE - AHCI	N/A	N/A	0.05
Arabica	0570-5398	1570-0585	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	0.62
PERFORMANCE RESEARCH	1352-8165	1469-9990	THEATER - AHCI	N/A	N/A	0.69
Acta Linguistica Academica	2559-8201	2560-1016	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.67
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH	0933-1719	1613-3722	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.88
Journal of Global History	1740-0228	1740-0236	HISTORY - AHCI	N/A	N/A	5.33
NATURAL LANGUAGE & LINGUISTIC THEORY	0167-806X	1573-0859	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.59
GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL	0883-6353	1520-6548	ARCHAEOLOGY - AHCI	N/A	N/A	0.91
RETHINKING HISTORY	1364-2529	1470-1154	HISTORY - AHCI	N/A	N/A	2.44
REVISTA DE FILOLOGIA ESPANOLA	0210-9174	1988-8538	LANGUAGE & LINGUISTICS - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	1.26
Magic Ritual and Witchcraft	1556-8547	1940-5111	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.39
AMERICAN ANTIQUITY	0002-7316	2325-5064	ARCHAEOLOGY - AHCI	N/A	N/A	1.94
PLOUGHSHARES	0048-4474	2162-0903	LITERARY REVIEWS - AHCI	N/A	N/A	1.49
JOURNAL OF ARCHITECTURAL EDUCATION	1046-4883	1531-314X	ARCHITECTURE - AHCI	N/A	N/A	0.27
SOCIETES	0765-3697	1782-155X	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.09
Contemporary Music Review	0749-4467	1477-2256	MUSIC - AHCI	N/A	N/A	0.86
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK	0044-2305	2196-4726	LITERATURE - AHCI	N/A	N/A	1.56
Early Modern French Studies	2056-3035	2056-3043	HISTORY - AHCI$HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.30
Research in Dance Education	1464-7893	1470-1111	DANCE - AHCI	N/A	N/A	4.38
ZEITSCHRIFT FUR ROMANISCHE PHILOLOGIE	0049-8661	1865-9063	LANGUAGE & LINGUISTICS - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	1.17
Resonancias	0717-3474	0719-5702	MUSIC - AHCI	N/A	N/A	0.41
Costume-The Journal of the Costume Society	0590-8876	1749-6306	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.26
Pragmatics & Cognition	0929-0907	1569-9943	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.25
REVIEWS IN AMERICAN HISTORY	0048-7511	1080-6628	HISTORY - AHCI	N/A	N/A	0.20
Notre Dame Journal of Formal Logic	0029-4527	1939-0726	PHILOSOPHY - AHCI	N/A	N/A	0.72
International Multilingual Research Journal	1931-3152	1931-3160	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.56
AL-QANTARA	0211-3589	1988-2955	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	0.25
GRADIVA	0363-8057	0363-8057	LITERARY THEORY & CRITICISM - AHCI	N/A	N/A	0.00
PHILOSOPHICAL STUDIES	0031-8116	1573-0883	PHILOSOPHY - AHCI	N/A	N/A	2.54
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH	0031-8205	1933-1592	PHILOSOPHY - AHCI	N/A	N/A	3.25
Journal Asiatique	0021-762X	1783-1504	ASIAN STUDIES - AHCI	N/A	N/A	0.29
JOURNAL OF BRITISH STUDIES	0021-9371	1545-6986	HISTORY - AHCI	N/A	N/A	2.55
CLIO-A JOURNAL OF LITERATURE HISTORY AND THE PHILOSOPHY OF HISTORY	0884-2043	0884-2043	HISTORY - AHCI$LITERARY THEORY & CRITICISM - AHCI$LITERATURE - AHCI$PHILOSOPHY - AHCI	N/A	N/A	0.80
INTERNATIONAL JOURNAL OF LEXICOGRAPHY	0950-3846	1477-4577	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.74
JOURNAL OF BECKETT STUDIES	0309-5207	1759-7811	LITERARY THEORY & CRITICISM - AHCI$LITERATURE, BRITISH ISLES - AHCI$THEATER - AHCI	N/A	N/A	1.34
Middle Eastern Literatures	1475-262X	1475-2638	LITERATURE - AHCI	N/A	N/A	0.20
TOUNG PAO	0082-5433	N/A	ASIAN STUDIES - AHCI	N/A	N/A	0.97
GLOTTA-ZEITSCHRIFT FUR GRIECHISCHE UND LATEINISCHE SPRACHE	0017-1298	2196-9043	CLASSICS - AHCI	N/A	N/A	1.22
SLAVIC AND EAST EUROPEAN JOURNAL	0037-6752	0037-6752	LITERATURE, SLAVIC - AHCI	N/A	N/A	0.30
Slovo a Slovesnost	0037-7031	N/A	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.18
CRITICISM-A QUARTERLY FOR LITERATURE AND THE ARTS	0011-1589	1536-0342	LITERARY THEORY & CRITICISM - AHCI$LITERATURE - AHCI	N/A	N/A	1.25
HISTORIA	1270-0835	N/A	HISTORY - AHCI	N/A	N/A	0.01
EIGHTEENTH CENTURY-THEORY AND INTERPRETATION	0193-5380	1935-0201	LITERARY THEORY & CRITICISM - AHCI	N/A	N/A	0.63
Configurations	1063-1801	1080-6520	HISTORY & PHILOSOPHY OF SCIENCE - AHCI$LITERATURE - AHCI	N/A	N/A	1.29
Islamic Africa	2154-0993	2154-0993	RELIGION - AHCI	N/A	N/A	0.63
Current Issues in Language Planning	1466-4208	1747-7506	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.59
AGENDA	0002-0796	N/A	POETRY - AHCI	N/A	N/A	0.02
Foundations of Chemistry	1386-4238	1572-8463	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.78
Language and Linguistics	1606-822X	2309-5067	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.25
CAHIERS VICTORIENS & EDOUARDIENS	0220-5610	N/A	LITERATURE, BRITISH ISLES - AHCI	N/A	N/A	0.16
NEW ZEALAND JOURNAL OF HISTORY	0028-8322	0028-8322	HISTORY - AHCI	N/A	N/A	0.83
ECUMENICAL REVIEW	0013-0796	1758-6623	RELIGION - AHCI	N/A	N/A	0.37
CERAMICS-ART AND PERCEPTION	1035-1841	1035-1841	ART - AHCI	N/A	N/A	0.19
English Teaching-Practice and Critique	1175-8708	1175-8708	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.64
Journal of African Media Studies	2040-199X	1751-7974	CULTURAL STUDIES - AHCI$FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.70
Militargeschichtliche Zeitschrift	2193-2336	2196-6850	HISTORY - AHCI	N/A	N/A	0.11
Sign Systems Studies	1406-4243	1736-7409	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	1.88
JOURNAL OF THE ROYAL MUSICAL ASSOCIATION	0269-0403	1471-6933	MUSIC - AHCI	N/A	N/A	0.68
ORBIS LITTERARUM	0105-7510	1600-0730	LITERATURE - AHCI	N/A	N/A	0.92
Nordic Theatre Studies	0904-6380	2002-3898	THEATER - AHCI	N/A	N/A	0.65
JOURNAL OF THE EARLY REPUBLIC	0275-1275	1553-0620	HISTORY - AHCI	N/A	N/A	1.75
Rock Art Research	0813-0426	0813-0426	ARCHAEOLOGY - AHCI$ART - AHCI	N/A	N/A	1.91
REPRESENTATIONS	0734-6018	1533-855X	CULTURAL STUDIES - AHCI	N/A	N/A	0.37
TIJDSCHRIFT VOOR GESCHIEDENIS	0040-7518	0040-7518	HISTORY - AHCI	N/A	N/A	0.16
Open Archaeology	2300-6560	2300-6560	ARCHAEOLOGY - AHCI	N/A	N/A	0.80
Revista de Historia Industrial	1132-7200	2385-3247	HISTORY - AHCI	N/A	N/A	0.20
ACADIENSIS	0044-5851	1712-7432	HISTORY - AHCI	N/A	N/A	1.59
HISTORY OF THE HUMAN SCIENCES	0952-6951	1461-720X	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.85
Journal of Mediterranean Archaeology	0952-7648	N/A	ARCHAEOLOGY - AHCI	N/A	N/A	0.80
Arquitetura Revista	1808-5741	N/A	ARCHITECTURE - AHCI	N/A	N/A	0.32
ARCHITECTURAL DESIGN	0003-8504	1554-2769	ARCHITECTURE - AHCI	N/A	N/A	0.63
Victorian Periodicals Review	0709-4698	1712-526X	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.54
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS	1187-7863	1573-322X	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.83
NARRATIVE INQUIRY	1387-6740	1569-9935	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.73
ARABIAN ARCHAEOLOGY AND EPIGRAPHY	0905-7196	1600-0471	ARCHAEOLOGY - AHCI	N/A	N/A	0.65
Gesture	1568-1475	1569-9773	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.75
JAMES JOYCE QUARTERLY	0021-4183	1938-6036	LITERATURE, BRITISH ISLES - AHCI	N/A	N/A	0.21
JOURNAL OF MUSICOLOGICAL RESEARCH	0141-1896	1547-7304	MUSIC - AHCI	N/A	N/A	0.27
Linguistic Approaches to Bilingualism	1879-9264	1879-9272	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.83
JOURNAL OF PHILOSOPHY	0022-362X	1939-8549	PHILOSOPHY - AHCI	N/A	N/A	2.76
ArcheoSciences-Revue d Archeometrie	1960-1360	2104-3728	ARCHAEOLOGY - AHCI	N/A	N/A	0.10
International Journal of Multilingualism	1479-0718	1747-7530	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.82
Journal of Spanish Cultural Studies	1463-6204	1469-9818	CULTURAL STUDIES - AHCI	N/A	N/A	0.22
DANCE CHRONICLE	0147-2526	1532-4257	DANCE - AHCI	N/A	N/A	1.08
Asian Studies Review	1035-7823	1467-8403	ASIAN STUDIES - AHCI$CULTURAL STUDIES - AHCI	N/A	N/A	2.17
Journal of Maritime Archaeology	1557-2285	1557-2293	ARCHAEOLOGY - AHCI	N/A	N/A	0.65
Philosophy Ethics and Humanities in Medicine	1747-5341	1747-5341	HISTORY & PHILOSOPHY OF SCIENCE - AHCI$PHILOSOPHY - AHCI	N/A	N/A	1.48
CRITICA D ARTE	0011-1511	N/A	ART - AHCI	N/A	N/A	0.06
GREECE & ROME	0017-3835	1477-4550	CLASSICS - AHCI	N/A	N/A	0.96
JAPANESE JOURNAL OF RELIGIOUS STUDIES	0304-1042	0304-1042	RELIGION - AHCI	N/A	N/A	0.90
JOURNAL OF FIELD ARCHAEOLOGY	0093-4690	2042-4582	ARCHAEOLOGY - AHCI	N/A	N/A	1.93
AMERICAN STUDIES IN SCANDINAVIA	0044-8060	N/A	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.11
Revista de Filosofia Aurora	0104-4443	1980-5934	PHILOSOPHY - AHCI	N/A	N/A	0.17
HISTORISK TIDSSKRIFT	0018-263X	1504-2944	HISTORY - AHCI	N/A	N/A	0.67
MUSICAL QUARTERLY	0027-4631	1741-8399	MUSIC - AHCI	N/A	N/A	0.31
OSIRIS	0369-7827	1933-8287	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	0.28
COMPARATIVE DRAMA	0010-4078	1936-1637	THEATER - AHCI	N/A	N/A	0.17
LION AND THE UNICORN	0147-2593	1080-6563	LITERATURE - AHCI	N/A	N/A	0.65
FILOSOFICKY CASOPIS	0015-1831	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.10
Space	1228-2472	N/A	ARCHITECTURE - AHCI	N/A	N/A	0.02
Melanges de la Casa de Velazquez	0076-230X	2173-1306	HISTORY - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	1.09
FILM COMMENT	0015-119X	0015-119X	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.03
OXFORD LITERARY REVIEW	0305-1498	1757-1634	LITERARY THEORY & CRITICISM - AHCI$PHILOSOPHY - AHCI	N/A	N/A	0.57
SIGHT AND SOUND	0037-4806	N/A	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.10
Contemporary Buddhism	1463-9947	1476-7953	PHILOSOPHY - AHCI$RELIGION - AHCI	N/A	N/A	0.86
VOLKSKUNDE	0042-8523	0042-8523	FOLKLORE - AHCI	N/A	N/A	0.86
International Journal of Applied Linguistics	0802-6106	1473-4192	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.25
RENASCENCE-ESSAYS ON VALUES IN LITERATURE	0034-4346	2329-8626	LITERATURE - AHCI	N/A	N/A	0.33
MEXICAN STUDIES-ESTUDIOS MEXICANOS	0742-9797	N/A	HISTORY - AHCI	N/A	N/A	0.48
JOURNAL OF POPULAR FILM AND TELEVISION	0195-6051	1930-6458	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.33
PHILOSOPHISCHE RUNDSCHAU	0031-8159	1868-7261	PHILOSOPHY - AHCI	N/A	N/A	0.02
Italian Studies	0075-1634	1748-6181	HUMANITIES, MULTIDISCIPLINARY - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	1.98
REVUE D HISTOIRE DU THEATRE	1291-2530	N/A	THEATER - AHCI	N/A	N/A	0.00
ZEITSCHRIFT FUR GESCHICHTSWISSENSCHAFT	0044-2828	N/A	HISTORY - AHCI	N/A	N/A	0.25
ETUDES LITTERAIRES	0014-214X	0014-214X	LITERATURE, ROMANCE - AHCI	N/A	N/A	0.72
TRANSACTIONS OF THE PHILOLOGICAL SOCIETY	0079-1636	1467-968X	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.38
Rivista Storica Dell Antichita	0300-340X	N/A	CLASSICS - AHCI$HISTORY - AHCI	N/A	N/A	0.55
Continuum-Journal of Media & Cultural Studies	1030-4312	1469-3666	CULTURAL STUDIES - AHCI$FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.92
GREEK ROMAN AND BYZANTINE STUDIES	0017-3916	2159-3159	CLASSICS - AHCI	N/A	N/A	2.04
DANCING TIMES	0011-605X	0011-605X	DANCE - AHCI	N/A	N/A	0.00
Neotestamentica	0254-8356	2518-4628	RELIGION - AHCI	N/A	N/A	0.55
Romance Studies	0263-9904	1745-8153	LITERATURE, ROMANCE - AHCI	N/A	N/A	0.93
Cultura-International Journal of Philosophy of Culture and Axiology	1584-1057	2065-5002	PHILOSOPHY - AHCI	N/A	N/A	0.19
STUDIES IN RELIGION-SCIENCES RELIGIEUSES	0008-4298	2042-0587	RELIGION - AHCI	N/A	N/A	0.64
AMERICAN SCHOLAR	0003-0937	2162-2892	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.05
Criticon	0247-381X	2272-9852	LITERARY THEORY & CRITICISM - AHCI$LITERATURE, ROMANCE - AHCI	N/A	N/A	1.01
Journal of the History of Economic Thought	1053-8372	1469-9656	HISTORY - AHCI	N/A	N/A	1.28
BACH	0005-3600	0005-3600	MUSIC - AHCI	N/A	N/A	0.61
WESTERN FOLKLORE	0043-373X	N/A	FOLKLORE - AHCI	N/A	N/A	0.96
Prolegomena	1333-4395	N/A	PHILOSOPHY - AHCI	N/A	N/A	0.19
Psychology of Music	0305-7356	1741-3087	MUSIC - AHCI	N/A	N/A	1.62
MEDICAL PROBLEMS OF PERFORMING ARTISTS	0885-1158	1938-2766	MUSIC - AHCI	N/A	N/A	2.26
AMERICAN JOURNAL OF SEMIOTICS	0277-7126	2153-2990	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	1.84
arq-Architectural Research Quarterly	1359-1355	1474-0516	ARCHITECTURE - AHCI	N/A	N/A	0.47
BULLETIN OF THE COMEDIANTES	0007-5108	1944-0928	THEATER - AHCI	N/A	N/A	1.10
EIRE-IRELAND	0013-2683	1550-5162	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.63
Postmedieval-A Journal of Medieval Cultural Studies	2040-5960	2040-5979	CULTURAL STUDIES - AHCI$MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	1.15
FOLK MUSIC JOURNAL	0531-9684	N/A	FOLKLORE - AHCI$MUSIC - AHCI	N/A	N/A	0.18
Museon	0771-6494	1783-158X	ASIAN STUDIES - AHCI$HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.41
JOURNAL OF PHILOSOPHICAL LOGIC	0022-3611	1573-0433	PHILOSOPHY - AHCI	N/A	N/A	2.43
Religion Brain & Behavior	2153-599X	2153-5981	RELIGION - AHCI	N/A	N/A	6.40
JOURNAL OF MODERN ITALIAN STUDIES	1354-571X	1469-9583	HISTORY - AHCI	N/A	N/A	1.68
HUDSON REVIEW	0018-702X	2325-5935	LITERARY REVIEWS - AHCI	N/A	N/A	0.40
CENTAURUS	0008-8994	1600-0498	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	1.01
NOVYI MIR	0130-7673	N/A	LITERARY REVIEWS - AHCI	N/A	N/A	0.17
Child Language Teaching & Therapy	0265-6590	1477-0865	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.81
NOVUM TESTAMENTUM	0048-1009	N/A	RELIGION - AHCI	N/A	N/A	0.57
Journal of Comparative Germanic Linguistics	1383-4924	1572-8552	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.93
Religions	N/A	2077-1444	RELIGION - AHCI	N/A	N/A	1.79
Asian Perspectives-The Journal of Archaeology for Asia and the Pacific	0066-8435	1535-8283	ARCHAEOLOGY - AHCI	N/A	N/A	0.68
Spanish in Context	1571-0718	1571-0726	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.47
MONTANA-THE MAGAZINE OF WESTERN HISTORY	0026-9891	2328-4293	HISTORY - AHCI	N/A	N/A	0.27
Seizieme Siecle	1774-4466	N/A	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	0.00
International Journal for the Psychology of Religion	1050-8619	1532-7582	RELIGION - AHCI	N/A	N/A	2.83
AUT AUT	0005-0601	N/A	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.10
DALHOUSIE REVIEW	0011-5827	0011-5827	LITERARY REVIEWS - AHCI	N/A	N/A	0.00
Iran and the Caucasus	1609-8498	1573-384X	HISTORY - AHCI	N/A	N/A	0.50
Problemos	1392-1126	1392-1126	PHILOSOPHY - AHCI	N/A	N/A	0.26
NUMEN-INTERNATIONAL REVIEW FOR THE HISTORY OF RELIGIONS	0029-5973	1568-5276	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	0.99
MICHIGAN QUARTERLY REVIEW	0026-2420	N/A	LITERARY REVIEWS - AHCI	N/A	N/A	0.28
Modern Intellectual History	1479-2443	1479-2451	HISTORY - AHCI	N/A	N/A	2.26
Historia y Politica	1575-0361	1989-063X	HISTORY - AHCI	N/A	N/A	0.29
LINGUISTICS AND PHILOSOPHY	0165-0157	1573-0549	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.25
Journal of Archaeological Science-Reports	2352-409X	2352-409X	ARCHAEOLOGY - AHCI	N/A	N/A	1.32
Fashion Theory-The Journal of Dress Body & Culture	1362-704X	1751-7419	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	2.11
Linguistic Typology	1430-0532	1613-415X	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	2.15
Pragmatics	1018-2101	2406-4238	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.02
