Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health	N/A	2214-7829	PSYCHOLOGY, CLINICAL - SSCI	5.358	Q1	1.19
International Journal of Science and Mathematics Education	1571-0068	1573-1774	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.051	Q3	1.23
EVALUATION AND PROGRAM PLANNING	0149-7189	1873-7870	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	1.886	Q3	1.13
SCOTTISH HISTORICAL REVIEW	0036-9241	1750-0222	HISTORY - SSCI	0.441	Q3	1.39
SOUTHERN ECONOMIC JOURNAL	0038-4038	2325-8012	ECONOMICS - SSCI	1.333	Q3	0.50
Slovo a Slovesnost	0037-7031	N/A	LINGUISTICS - SSCI	0.227	Q4	0.18
Supreme Court Review	0081-9557	N/A	LAW - SSCI	1.571	Q2	0.67
Journal of Derivatives	1074-1240	2168-8524	BUSINESS, FINANCE - SSCI	0.647	Q4	0.22
Asian-Pacific Economic Literature	0818-9935	1467-8411	ECONOMICS - SSCI	0.600	Q4	0.26
STANFORD LAW REVIEW	0038-9765	N/A	LAW - SSCI	5.040	Q1	4.34
FEMINISM & PSYCHOLOGY	0959-3535	1461-7161	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI$WOMENS STUDIES - SSCI	5.833	Q1	1.94
SECURITY STUDIES	0963-6412	1556-1852	INTERNATIONAL RELATIONS - SSCI	3.032	Q1	1.33
Exceptionality	0936-2835	1532-7035	EDUCATION, SPECIAL - SSCI	1.253	Q4	0.83
Gestion y Politica Publica	1405-1079	N/A	PUBLIC ADMINISTRATION - SSCI	0.733	Q4	0.12
Cyberpsychology-Journal of Psychosocial Research on Cyberspace	1802-7962	1802-7962	COMMUNICATION - SSCI$PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	3.708	Q2	1.14
SOCIETY & NATURAL RESOURCES	0894-1920	1521-0723	DEVELOPMENT STUDIES - SSCI$ENVIRONMENTAL STUDIES - SSCI$REGIONAL & URBAN PLANNING - SSCI$SOCIOLOGY - SSCI	3.024	Q2	0.83
SCANDINAVIAN JOURNAL OF PSYCHOLOGY	0036-5564	1467-9450	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	2.312	Q3	0.76
Israel Journal of Health Policy Research	2045-4015	2045-4015	HEALTH POLICY & SERVICES - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.465	Q3	0.69
Research in Developmental Disabilities	0891-4222	1873-3379	EDUCATION, SPECIAL - SSCI$REHABILITATION - SSCI	3.000	Q1	1.46
Critical Care Nurse	0279-5442	1940-8250	NURSING - SSCI	2.192	Q2	0.62
Journal of Women Politics & Policy	1554-477X	1554-4788	POLITICAL SCIENCE - SSCI$WOMENS STUDIES - SSCI	1.358	Q3	0.83
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	1064-7481	1545-7214	GERONTOLOGY - SSCI$PSYCHIATRY - SSCI	7.996	Q1	1.48
CONTEMPORARY ECONOMIC POLICY	1074-3529	1465-7287	ECONOMICS - SSCI$PUBLIC ADMINISTRATION - SSCI	1.212	Q4	0.43
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE	1086-4415	1557-9301	BUSINESS - SSCI	7.730	Q2	1.41
MIDWIFERY	0266-6138	1532-3099	NURSING - SSCI	2.640	Q1	1.23
COGNITIVE PSYCHOLOGY	0010-0285	1095-5623	PSYCHOLOGY, EXPERIMENTAL - SSCI	3.746	Q2	1.11
Finance Research Letters	1544-6123	1544-6131	BUSINESS, FINANCE - SSCI	9.846	Q1	3.01
ADVANCES IN NURSING SCIENCE	0161-9268	1550-5014	NURSING - SSCI	2.147	Q2	0.95
European Management Review	1740-4754	1740-4762	MANAGEMENT - SSCI	3.000	Q3	0.71
Communication Disorders Quarterly	1525-7401	1538-4837	REHABILITATION - SSCI	0.764	Q4	0.50
Indian Journal of Public Health	0019-557X	2229-7693	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.219	Q3	0.45
INTERNATIONAL JOURNAL OF LEXICOGRAPHY	0950-3846	1477-4577	LINGUISTICS - SSCI	0.652	Q4	0.74
Revista Espanola de Salud Publica	1135-5727	2173-9110	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	1.333	Q4	0.16
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES	0333-7308	0333-7308	PSYCHIATRY - SSCI	0.244	Q4	0.11
PSYCHIATRY RESEARCH	0165-1781	1872-7123	PSYCHIATRY - SSCI	11.225	Q1	1.46
JOURNAL OF TECHNOLOGY TRANSFER	0892-9912	1573-7047	MANAGEMENT - SSCI	5.337	Q2	1.11
Marketing Intelligence & Planning	0263-4503	1758-8049	BUSINESS - SSCI	4.338	Q3	0.81
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY	1064-1297	1936-2293	PSYCHOLOGY, BIOLOGICAL - SSCI$PSYCHOLOGY, CLINICAL - SSCI	3.492	Q2	0.86
International Journal of Shipping and Transport Logistics	1756-6517	1756-6525	MANAGEMENT - SSCI$TRANSPORTATION - SSCI	1.264	Q4	0.33
Journal of Innovation & Knowledge	2530-7614	2444-569X	BUSINESS - SSCI$MANAGEMENT - SSCI	11.219	Q1	2.56
JUSTICE SYSTEM JOURNAL	0098-261X	2327-7556	LAW - SSCI	0.707	Q4	0.71
ISSUES IN SCIENCE AND TECHNOLOGY	0748-5492	1938-1557	SOCIAL ISSUES - SSCI	1.649	Q3	0.25
BRAIN INJURY	0269-9052	1362-301X	REHABILITATION - SSCI	2.167	Q2	0.66
DEPRESSION AND ANXIETY	1091-4269	1520-6394	PSYCHIATRY - SSCI$PSYCHOLOGY, CLINICAL - SSCI	8.128	Q1	1.80
Global Policy	1758-5880	1758-5899	INTERNATIONAL RELATIONS - SSCI$POLITICAL SCIENCE - SSCI	2.375	Q2	0.99
JOURNAL OF CONSCIOUSNESS STUDIES	1355-8250	N/A	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	1.361	Q3	1.43
Cartography and Geographic Information Science	1523-0406	1545-0465	GEOGRAPHY - SSCI	2.354	Q3	1.00
JOURNAL OF SOUTHEAST ASIAN STUDIES	0022-4634	1474-0680	AREA STUDIES - SSCI	0.673	Q4	0.94
JOURNAL OF AGRICULTURAL ECONOMICS	0021-857X	1477-9552	ECONOMICS - SSCI	4.163	Q1	1.44
FAMILY & COMMUNITY HEALTH	0160-6379	1550-5057	FAMILY STUDIES - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.017	Q2	0.58
INTERNATIONAL MARKETING REVIEW	0265-1335	1758-6763	BUSINESS - SSCI	5.774	Q2	1.04
Revista Espanola de Derecho Constitucional	0211-5743	1989-0648	LAW - SSCI	1.155	Q3	0.16
STUDIES IN SECOND LANGUAGE ACQUISITION	0272-2631	1470-1545	LINGUISTICS - SSCI	4.730	Q1	2.73
Pain Management Nursing	1524-9042	1532-8635	NURSING - SSCI	2.356	Q2	1.11
Energy Efficiency	1570-646X	1570-6478	ENVIRONMENTAL STUDIES - SSCI$GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI	3.134	Q3	0.50
JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE	1078-4659	1550-5022	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.657	Q3	0.66
BEHAVIORAL INTERVENTIONS	1072-0847	1099-078X	PSYCHOLOGY, CLINICAL - SSCI	1.269	Q4	0.33
European Review	1062-7987	1474-0575	AREA STUDIES - SSCI	0.521	Q4	0.55
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION	0278-7393	1939-1285	PSYCHOLOGY, EXPERIMENTAL - SSCI	3.140	Q2	1.04
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY	0020-7284	1943-2836	PSYCHOLOGY, CLINICAL - SSCI	0.907	Q4	0.21
Journal of Sports Economics	1527-0025	1552-7794	ECONOMICS - SSCI$HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI	1.848	Q3	0.68
Health Economics Policy and Law	1744-1331	1744-134X	HEALTH POLICY & SERVICES - SSCI	2.516	Q3	1.06
Engineering Management Journal	1042-9247	2377-0643	MANAGEMENT - SSCI	2.548	Q4	0.44
GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY	0435-3684	1468-0467	GEOGRAPHY - SSCI	2.450	Q3	0.70
European Political Science	1680-4333	1682-0983	POLITICAL SCIENCE - SSCI	2.436	Q2	0.89
SOCIETY	0147-2011	1936-4725	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI$SOCIOLOGY - SSCI	0.979	Q4	0.21
Journal of Transportation Safety & Security	1943-9962	1943-9970	TRANSPORTATION - SSCI	2.825	Q4	0.71
INTERNATIONAL JOURNAL OF MANPOWER	0143-7720	1758-6577	INDUSTRIAL RELATIONS & LABOR - SSCI$MANAGEMENT - SSCI	3.295	Q2	0.94
Asia Pacific Journal of Tourism Research	1094-1665	1741-6507	HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI	4.074	Q2	0.99
Journal of Environmental Policy & Planning	1523-908X	1522-7200	DEVELOPMENT STUDIES - SSCI$REGIONAL & URBAN PLANNING - SSCI	3.977	Q1	1.09
ADVANCES IN HEALTH SCIENCES EDUCATION	1382-4996	1573-1677	EDUCATION & EDUCATIONAL RESEARCH - SSCI	3.629	Q1	1.44
AUSTRALIAN ECONOMIC PAPERS	0004-900X	1467-8454	ECONOMICS - SSCI	1.452	Q3	0.46
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY	0144-6657	2044-8260	PSYCHOLOGY, CLINICAL - SSCI	3.984	Q2	1.10
REAL ESTATE ECONOMICS	1080-8620	1540-6229	BUSINESS, FINANCE - SSCI$ECONOMICS - SSCI$URBAN STUDIES - SSCI	3.154	Q2	1.03
INFORMATION SYSTEMS RESEARCH	1047-7047	1526-5536	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI$MANAGEMENT - SSCI	5.490	Q1	1.37
Journal of Occupational Health Psychology	1076-8998	1939-1307	PSYCHOLOGY, APPLIED - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	7.707	Q1	2.18
RESEARCH IN SCIENCE EDUCATION	0157-244X	1573-1898	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.469	Q2	2.32
Journal of Child and Family Studies	1062-1024	1573-2843	FAMILY STUDIES - SSCI$PSYCHIATRY - SSCI$PSYCHOLOGY, DEVELOPMENTAL - SSCI	2.784	Q2	0.73
JOURNAL OF BIOLOGICAL EDUCATION	0021-9266	2157-6009	EDUCATION & EDUCATIONAL RESEARCH - SSCI	1.343	Q4	0.50
Service Business	1862-8516	1862-8508	BUSINESS - SSCI$MANAGEMENT - SSCI	5.236	Q2	0.99
Service Science	2164-3962	2164-3970	BUSINESS - SSCI$MANAGEMENT - SSCI	2.704	Q4	0.50
JOURNAL OF HEALTH POLITICS POLICY AND LAW	0361-6878	N/A	HEALTH POLICY & SERVICES - SSCI$SOCIAL ISSUES - SSCI$SOCIAL SCIENCES, BIOMEDICAL - SSCI	2.977	Q2	1.07
Industry and Innovation	1366-2716	1469-8390	ECONOMICS - SSCI$MANAGEMENT - SSCI	3.819	Q1	1.10
POLITICAL SCIENCE	0032-3187	2041-0611	POLITICAL SCIENCE - SSCI	1.364	Q3	0.33
Journalism	1464-8849	1741-3001	COMMUNICATION - SSCI	3.194	Q2	1.75
Autism Research	1939-3792	1939-3806	PSYCHOLOGY, DEVELOPMENTAL - SSCI	4.633	Q1	1.28
Modern Italy	1353-2944	1469-9877	AREA STUDIES - SSCI$HISTORY - SSCI	0.480	Q3	0.89
IOWA LAW REVIEW	0021-0552	N/A	LAW - SSCI	1.352	Q3	1.36
REVISTA LATINOAMERICANA DE PSICOLOGIA	0120-0534	N/A	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	0.894	Q4	0.30
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY	0032-4728	1477-4747	DEMOGRAPHY - SSCI	2.828	Q2	0.99
Biodemography and Social Biology	1948-5565	1948-5573	DEMOGRAPHY - SSCI$SOCIAL SCIENCES, BIOMEDICAL - SSCI$SOCIOLOGY - SSCI	1.222	Q4	0.35
disP	0251-3625	2166-8604	REGIONAL & URBAN PLANNING - SSCI	1.480	Q4	0.27
Journal of Australian Studies	1444-3058	1835-6419	AREA STUDIES - SSCI$CULTURAL STUDIES - SSCI$HISTORY - SSCI	0.844	Q2	1.49
APPLIED ECONOMICS	0003-6846	1466-4283	ECONOMICS - SSCI	1.916	Q3	0.63
Physical Education and Sport Pedagogy	1740-8989	1742-5786	EDUCATION & EDUCATIONAL RESEARCH - SSCI	4.638	Q1	2.59
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT	0276-8739	1520-6688	ECONOMICS - SSCI$PUBLIC ADMINISTRATION - SSCI	4.585	Q1	1.52
NATIONAL TAX JOURNAL	0028-0283	1944-7477	BUSINESS, FINANCE - SSCI$ECONOMICS - SSCI	1.527	Q3	0.52
Journal of Latin American Cultural Studies	1356-9325	1469-9575	CULTURAL STUDIES - SSCI	0.351	Q4	0.34
EDUCATIONAL PSYCHOLOGIST	0046-1520	1532-6985	EDUCATION & EDUCATIONAL RESEARCH - SSCI$PSYCHOLOGY, EDUCATIONAL - SSCI	8.209	Q1	1.82
TESOL QUARTERLY	0039-8322	1545-7249	EDUCATION & EDUCATIONAL RESEARCH - SSCI$LINGUISTICS - SSCI	3.410	Q1	1.90
International Journal of Bilingual Education and Bilingualism	1367-0050	1747-7522	EDUCATION & EDUCATIONAL RESEARCH - SSCI$LINGUISTICS - SSCI	3.165	Q1	2.66
Big Data & Society	2053-9517	2053-9517	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	8.731	Q1	3.68
Assistenza Infermieristica e Ricerca	1592-5986	2038-1778	NURSING - SSCI	0.756	Q4	0.46
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES	0889-1583	1095-8681	ECONOMICS - SSCI$INTERNATIONAL RELATIONS - SSCI	1.985	Q3	0.73
Journal of Neuroscience Psychology and Economics	1937-321X	2151-318X	ECONOMICS - SSCI$PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	1.280	Q4	0.44
Human Rights Law Review	1461-7781	1744-1021	INTERNATIONAL RELATIONS - SSCI$LAW - SSCI	1.150	Q3	1.11
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS	0020-7578	1745-8315	PSYCHOLOGY, PSYCHOANALYSIS - SSCI	0.929	Q2	1.04
Infancia y Aprendizaje	N/A	1578-4126	PSYCHOLOGY, DEVELOPMENTAL - SSCI$PSYCHOLOGY, EDUCATIONAL - SSCI	0.714	Q4	0.36
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION	0313-6647	1467-8500	PUBLIC ADMINISTRATION - SSCI	2.140	Q3	0.66
Advances in Methods and Practices in Psychological Science	2515-2459	2515-2467	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	15.817	Q1	4.80
CORNELL LAW REVIEW	0010-8847	0010-8847	LAW - SSCI	2.560	Q1	2.03
JOURNAL OF FLUENCY DISORDERS	0094-730X	1873-801X	EDUCATION, SPECIAL - SSCI$LINGUISTICS - SSCI$REHABILITATION - SSCI	2.297	Q1	1.22
Linguistic Approaches to Bilingualism	1879-9264	1879-9272	LINGUISTICS - SSCI	1.815	Q2	1.83
Nuncius-Journal of the History of Science	0394-7394	1825-3911	HISTORY & PHILOSOPHY OF SCIENCE - SSCI	0.188	Q4	0.17
International Peacekeeping	1353-3312	1743-906X	INTERNATIONAL RELATIONS - SSCI	2.203	Q2	1.03
GEOGRAPHY	0016-7487	2043-6564	GEOGRAPHY - SSCI	1.088	Q4	0.20
POLITICA Y GOBIERNO	1665-2037	N/A	POLITICAL SCIENCE - SSCI	0.630	Q4	0.20
JOURNAL OF DEVELOPMENT STUDIES	0022-0388	1743-9140	DEVELOPMENT STUDIES - SSCI$ECONOMICS - SSCI	2.519	Q2	0.82
Yale Journal on Regulation	0741-9457	2376-5925	LAW - SSCI	2.962	Q1	2.41
Journal of Global Information Technology Management	1097-198X	2333-6846	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	3.444	Q2	0.95
China-An International Journal	0219-7472	0219-8614	AREA STUDIES - SSCI	0.756	Q3	0.72
World Psychiatry	1723-8617	2051-5545	PSYCHIATRY - SSCI	79.683	Q1	8.55
Sport Management Review	1441-3523	1839-2083	HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI$MANAGEMENT - SSCI	5.589	Q2	1.45
Human Resource Development Quarterly	1044-8004	1532-1096	INDUSTRIAL RELATIONS & LABOR - SSCI$MANAGEMENT - SSCI$PSYCHOLOGY, APPLIED - SSCI	3.891	Q1	1.08
REFERENCE SERVICES REVIEW	0090-7324	2054-1716	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	0.933	Q4	0.27
Journal of Family Studies	1322-9400	1839-3543	FAMILY STUDIES - SSCI	1.380	Q3	0.59
HUMAN RELATIONS	0018-7267	1741-282X	MANAGEMENT - SSCI$SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	5.658	Q1	2.15
European Journal of English Studies	1382-5577	1744-4233	CULTURAL STUDIES - SSCI$LINGUISTICS - SSCI	0.694	Q3	0.75
Journal of the Gilded Age and Progressive Era	1537-7814	1943-3557	HISTORY - SSCI	0.407	Q3	0.79
New Directions for Child and Adolescent Development	1534-8687	N/A	PSYCHOLOGY, DEVELOPMENTAL - SSCI	1.811	Q4	0.66
JOURNAL OF HEAD TRAUMA REHABILITATION	0885-9701	1550-509X	REHABILITATION - SSCI	3.117	Q1	1.06
JOURNAL OF NERVOUS AND MENTAL DISEASE	0022-3018	1539-736X	PSYCHIATRY - SSCI	1.899	Q4	0.53
Health Systems & Reform	2328-8604	2328-8620	HEALTH POLICY & SERVICES - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	6.378	Q1	1.39
DISSENT	0012-3846	1946-0910	POLITICAL SCIENCE - SSCI$SOCIAL ISSUES - SSCI	0.454	Q4	0.15
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING	0046-9580	1945-7243	HEALTH POLICY & SERVICES - SSCI	2.099	Q3	0.61
REGIONAL STUDIES	0034-3404	1360-0591	ECONOMICS - SSCI$ENVIRONMENTAL STUDIES - SSCI$GEOGRAPHY - SSCI$REGIONAL & URBAN PLANNING - SSCI	4.595	Q1	1.32
Journal of School Violence	1538-8220	1538-8239	CRIMINOLOGY & PENOLOGY - SSCI$EDUCATION & EDUCATIONAL RESEARCH - SSCI$PSYCHOLOGY, DEVELOPMENTAL - SSCI$PSYCHOLOGY, EDUCATIONAL - SSCI	2.835	Q2	1.17
Poznan Studies in Contemporary Linguistics	1897-7499	1897-7499	LINGUISTICS - SSCI	0.400	Q4	0.39
Progress in Development Studies	1464-9934	1477-027X	DEVELOPMENT STUDIES - SSCI	1.926	Q3	0.54
JOURNAL OF NURSING SCHOLARSHIP	1527-6546	1547-5069	NURSING - SSCI	3.928	Q1	1.73
PUBLIC MONEY & MANAGEMENT	0954-0962	1467-9302	PUBLIC ADMINISTRATION - SSCI	3.040	Q2	0.89
International Data Privacy Law	2044-3994	2044-4001	LAW - SSCI	2.500	Q1	2.59
European Financial Management	1354-7798	1468-036X	BUSINESS, FINANCE - SSCI	2.295	Q3	0.77
COMPARATIVE STUDIES IN SOCIETY AND HISTORY	0010-4175	1475-2999	ANTHROPOLOGY - SSCI$HISTORY - SSCI$SOCIOLOGY - SSCI	1.016	Q1	1.54
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY	1072-5369	1573-7764	ANTHROPOLOGY - SSCI	3.073	Q1	2.16
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING	0019-042X	1613-4141	EDUCATION & EDUCATIONAL RESEARCH - SSCI$LINGUISTICS - SSCI	1.971	Q2	1.20
KNOWLEDGE ORGANIZATION	0943-7444	N/A	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	0.867	Q4	0.28
SECURITIES REGULATION LAW JOURNAL	0097-9554	0097-9554	LAW - SSCI	0.000	Q4	0.02
Journal of Diversity in Higher Education	1938-8926	1938-8934	EDUCATION & EDUCATIONAL RESEARCH - SSCI$PSYCHOLOGY, EDUCATIONAL - SSCI$PSYCHOLOGY, SOCIAL - SSCI	4.762	Q1	1.40
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	0002-9483	1096-8644	ANTHROPOLOGY - SSCI	2.963	Q1	1.02
PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE	0735-7028	1939-1323	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	1.850	Q3	0.66
SOCIAL WORK RESEARCH	1070-5309	1545-6838	SOCIAL WORK - SSCI	1.844	Q3	0.80
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION	1044-7318	1532-7590	ERGONOMICS - SSCI	4.920	Q1	0.98
Journal of Developmental and Life-Course Criminology	2199-4641	2199-465X	CRIMINOLOGY & PENOLOGY - SSCI	2.222	Q2	0.99
SYNTHESE	0039-7857	1573-0964	HISTORY & PHILOSOPHY OF SCIENCE - SSCI	1.595	Q2	2.24
French Cultural Studies	0957-1558	1740-2352	CULTURAL STUDIES - SSCI	0.286	Q4	0.18
CALIFORNIA MANAGEMENT REVIEW	0008-1256	2162-8564	BUSINESS - SSCI$MANAGEMENT - SSCI	11.678	Q1	2.36
American Journal of Criminal Justice	1066-2316	1936-1351	CRIMINOLOGY & PENOLOGY - SSCI	6.037	Q1	2.36
American Economic Review-Insights	2640-205X	2640-2068	ECONOMICS - SSCI	5.429	Q1	1.91
Transactions in GIS	1361-1682	1467-9671	GEOGRAPHY - SSCI	2.568	Q2	0.80
LANGUAGE	0097-8507	1535-0665	LINGUISTICS - SSCI	1.800	Q2	2.16
HASTINGS LAW JOURNAL	0017-8322	0017-8322	LAW - SSCI	1.024	Q3	0.99
RAE-Revista de Administracao de Empresas	2178-938X	2178-938X	BUSINESS - SSCI$MANAGEMENT - SSCI	1.100	Q4	0.18
Behavioural Processes	0376-6357	1872-8308	PSYCHOLOGY, BIOLOGICAL - SSCI	1.729	Q4	0.69
Communication & Sport	2167-4795	2167-4809	COMMUNICATION - SSCI$HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI	3.183	Q2	1.01
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY	1355-3259	2044-8333	CRIMINOLOGY & PENOLOGY - SSCI$LAW - SSCI$PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	1.756	Q2	1.41
LANGUAGE AND SPEECH	0023-8309	1756-6053	LINGUISTICS - SSCI$PSYCHOLOGY, EXPERIMENTAL - SSCI	1.835	Q2	0.82
International Journal of Advertising	0265-0487	1759-3948	BUSINESS - SSCI$COMMUNICATION - SSCI	5.888	Q1	1.54
Maritime Economics & Logistics	1479-2931	1479-294X	TRANSPORTATION - SSCI	3.841	Q3	0.68
MANCHESTER SCHOOL	1463-6786	1467-9957	ECONOMICS - SSCI	1.063	Q4	0.36
China Information	0920-203X	1741-590X	AREA STUDIES - SSCI	1.340	Q2	1.68
Journal of Economic Methodology	1350-178X	1469-9427	ECONOMICS - SSCI	1.409	Q3	0.59
Television & New Media	1527-4764	1552-8316	COMMUNICATION - SSCI	3.252	Q2	3.06
PSYCHOTHERAPY RESEARCH	1050-3307	1468-4381	PSYCHOLOGY, CLINICAL - SSCI	4.117	Q2	1.16
Journal of Experimental Criminology	1573-3750	1572-8315	CRIMINOLOGY & PENOLOGY - SSCI	3.701	Q1	1.48
COGNITION AND INSTRUCTION	0737-0008	1532-690X	PSYCHOLOGY, EDUCATIONAL - SSCI$PSYCHOLOGY, EXPERIMENTAL - SSCI	3.356	Q2	0.92
EVOLUTION PSYCHIATRIQUE	0014-3855	1769-6674	PSYCHIATRY - SSCI	0.466	Q4	0.08
Journal of South Asian Development	0973-1741	0973-1733	DEVELOPMENT STUDIES - SSCI	0.464	Q4	0.26
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	0959-3780	1872-9495	ENVIRONMENTAL STUDIES - SSCI$GEOGRAPHY - SSCI	11.160	Q1	2.68
INTERNATIONAL NURSING REVIEW	0020-8132	1466-7657	NURSING - SSCI	3.384	Q1	1.70
Wound Management & Prevention	2640-5237	2640-5245	NURSING - SSCI	1.222	Q4	0.48
QUEST	0033-6297	1543-2750	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.891	Q2	1.31
ANNALS OF REGIONAL SCIENCE	0570-1864	1432-0592	ECONOMICS - SSCI$ENVIRONMENTAL STUDIES - SSCI$GEOGRAPHY - SSCI$REGIONAL & URBAN PLANNING - SSCI	1.669	Q3	0.55
Historia y Politica	1575-0361	1989-063X	HISTORY - SSCI$POLITICAL SCIENCE - SSCI	0.458	Q3	0.29
POPULATION	0032-4663	1957-7966	DEMOGRAPHY - SSCI	3.806	Q2	0.35
SALUD PUBLICA DE MEXICO	0036-3634	1606-7916	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.259	Q3	0.63
Archive for the Psychology of Religion-Archiv fur Religionspsychologie	0084-6724	1573-6121	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	1.429	Q3	1.69
Journal of Victorian Culture	1355-5502	1750-0133	HISTORY - SSCI	0.444	Q3	0.97
LEISURE SCIENCES	0149-0400	1521-0588	HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI$SOCIOLOGY - SSCI	5.008	Q1	0.92
Transcultural Psychiatry	1363-4615	1461-7471	ANTHROPOLOGY - SSCI$PSYCHIATRY - SSCI	2.390	Q1	0.93
CROSS-CULTURAL RESEARCH	1069-3971	1552-3578	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	2.178	Q2	1.40
NEW GENETICS AND SOCIETY	1463-6778	1469-9915	HISTORY & PHILOSOPHY OF SCIENCE - SSCI$SOCIAL ISSUES - SSCI$SOCIAL SCIENCES, BIOMEDICAL - SSCI	1.839	Q1	0.78
JOURNAL OF POLITICAL IDEOLOGIES	1356-9317	1469-9613	POLITICAL SCIENCE - SSCI	1.354	Q3	0.68
CHINA ECONOMIC REVIEW	1043-951X	1873-7781	ECONOMICS - SSCI	4.744	Q1	1.73
Transfer-European Review of Labour and Research	1024-2589	1996-7284	INDUSTRIAL RELATIONS & LABOR - SSCI	1.408	Q3	0.72
TECHNOLOGY IN SOCIETY	0160-791X	1879-3274	SOCIAL ISSUES - SSCI$SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	6.879	Q1	2.99
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION	2329-8456	2329-8464	PSYCHOLOGY, BIOLOGICAL - SSCI$PSYCHOLOGY, EXPERIMENTAL - SSCI	2.088	Q3	0.77
JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES	0022-5061	1520-6696	HISTORY OF SOCIAL SCIENCES - SSCI	0.667	Q3	0.66
WASHINGTON QUARTERLY	0163-660X	1530-9177	INTERNATIONAL RELATIONS - SSCI$LAW - SSCI	2.013	Q2	1.47
SOCIAL BEHAVIOR AND PERSONALITY	0301-2212	1179-6391	PSYCHOLOGY, SOCIAL - SSCI	1.183	Q4	0.32
JOURNAL OF VALUE INQUIRY	0022-5363	1573-0492	ETHICS - SSCI	0.545	Q4	0.59
